RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT,GIS_ID,CREATED,EDITED,Normal_Age
8114,7501368,4834629,1,2016,White,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,1,0,1,0,100,0,0,0,Felony_Sentences_7493,,,19
8115,3402192,4970361,1,2016,Black,M,22-30,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7494,,,26
8116,2051580,9950200,1,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7495,,,19
8117,462957,9371946,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Long Split,16,9,7,24,100,,,,Felony_Sentences_7496,,,35
8118,5172670,7203914,1,2016,Black,F,22-30,Theft First Degree,Property,,M8,Probation,12,12,0,60,100,0,"22,446",0,Felony_Sentences_7497,,,23
8119,7889882,6064236,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D4,Probation,14,14,0,9,100,0,0,0,Felony_Sentences_7498,,,36
8120,4146477,2267964,1,2016,Black,M,18-21,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7499,,,19
8121,2777989,5473553,1,2016,Black,M,22-30,Unlawful Possession of a Firearm (Order to Relinquish),Weapon,,M8,Probation,12,12,0,12,100,0,0,0,Felony_Sentences_7500,,,25
8122,3643186,8367368,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7501,,,26
8123,7563836,5068351,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,32,26,6,24,100,,,,Felony_Sentences_7502,,,26
8124,9968901,5223512,1,2016,Black,F,41-50,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,92,0,92,0,100,0,0,0,Felony_Sentences_7503,,,45
8914,7740542,2085098,1,2015,Black,M,51-60,Aggravated Assault Knowingly,Violent,,M4,Incarceration,115,0,115,0,100,0,0,0,Felony_Sentences_7504,,,55
8915,7740542,2085098,3,2015,Black,M,51-60,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7505,,,57
8916,8030261,7088859,1,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,21,15,6,36,100,,,,Felony_Sentences_7506,,,18
8917,3791980,1728007,1,2015,Other or Unknown,M,18-21,Burglary Two,Property,,M8,Probation,9,9,0,12,100,0,898.8,0,Felony_Sentences_7507,,,19
8918,2810664,8143181,1,2015,Black,M,18-21,Burglary Two,Property,,M8,Probation,9,9,0,12,100,0,898,0,Felony_Sentences_7508,,,19
8919,4354410,1884690,4,2015,Black,M,31-40,Flee Law Enforcement Officer,Other,,M8,Short Split,6,6,1,0,100,0,0,0,Felony_Sentences_7509,,,36
8920,4354410,1884690,5,2015,Black,M,31-40,Assault W/I to Kill,Violent,,M3,Incarceration,72,0,72,0,100,0,0,0,Felony_Sentences_7510,,,35
8921,4354410,1884690,6,2015,Black,M,31-40,Carry Pistol Outside Home/Business,Weapon,,M8,Incarceration,6,0,6,0,100,0,0,0,Felony_Sentences_7511,,,36
8922,2408766,3067227,2,2015,Black,F,22-30,Involuntary Manslaughter,Homicide,Involuntary Manslaughter,M5,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7512,,,25
8923,5907236,8271276,1,2015,Black,F,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,15,100,0,0,0,Felony_Sentences_7513,,,55
8924,9187754,6047394,1,2015,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Probation,12,12,0,18,100,0,0,0,Felony_Sentences_7514,,,26
8925,5971992,5697659,1,2015,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,30,0,30,0,100,0,0,0,Felony_Sentences_7515,,,25
8926,238972,6485022,1,2015,Black,M,18-21,Escape from DYRS,Other,,M9,Incarceration,3,0,3,0,100,0,0,0,Felony_Sentences_7516,,,19
8927,238972,6485022,3,2015,Black,M,18-21,Assault W/I to Kill,Violent,,M5,Incarceration,40,0,40,0,100,0,0,0,Felony_Sentences_7517,,,20
8928,238972,6485022,10,2015,Black,M,18-21,Robbery,Violent,,M6,Incarceration,40,0,40,0,100,0,0,0,Felony_Sentences_7518,,,19
8929,3430,4489928,1,2015,Black,F,18-21,Robbery,Violent,,M6,Short Split,24,18,6,18,100,,,,Felony_Sentences_7519,,,19
8930,7882983,8259481,2,2015,Black,M,18-21,Burglary One,Property,,M5,Probation,24,24,0,36,100,0,0,0,Felony_Sentences_7520,,,19
8931,7882983,8259481,12,2015,Black,M,18-21,Theft First Degree,Property,,M8,Probation,12,12,0,36,100,0,0,0,Felony_Sentences_7521,,,19
8932,7882983,8259481,15,2015,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Probation,12,12,0,36,100,0,0,0,Felony_Sentences_7522,,,19
8933,7882983,8259481,18,2015,Black,M,18-21,Burglary Two,Property,,M7,Probation,18,18,0,36,100,0,0,0,Felony_Sentences_7523,,,20
8934,7882983,8259481,19,2015,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M5,Probation,30,30,0,36,100,0,0,0,Felony_Sentences_7524,,,20
8935,8862995,9931133,1,2015,Black,M,18-21,Conspiracy to Commit a Crime of Violence,Other,,M5,Incarceration,90,0,90,0,100,0,0,0,Felony_Sentences_7525,,,19
8936,8862995,9931133,2,2015,Black,M,18-21,Burglary One,Property,,M5,Incarceration,96,0,96,0,100,0,0,0,Felony_Sentences_7526,,,20
8937,8862995,9931133,12,2015,Black,M,18-21,Theft First Degree,Property,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7527,,,19
8938,8862995,9931133,15,2015,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Incarceration,12,0,12,0,100,0,0,0,Felony_Sentences_7528,,,19
8939,8862995,9931133,18,2015,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,0,0,0,Felony_Sentences_7529,,,19
8940,5677660,2359117,22,2015,Black,M,18-21,Destruction of Property $1000 or More,Property,,M8,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7530,,,19
8941,5677660,2359117,23,2015,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Incarceration,12,0,12,0,100,0,0,0,Felony_Sentences_7531,,,19
8942,5677660,2359117,24,2015,Black,M,18-21,Destruction of Property $1000 or More,Property,,M8,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7532,,,19
8943,5677660,2359117,25,2015,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Incarceration,12,0,12,0,100,0,0,0,Felony_Sentences_7533,,,19
8944,5677660,2359117,28,2015,Black,M,18-21,Obstruction Justice (Due Administration),Other,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7534,,,19
8945,5677660,2359117,30,2015,Black,M,18-21,Obstruction Justice (Due Administration),Other,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7535,,,19
8946,5218782,1954691,1,2015,Black,M,18-21,Burglary Two,Property,,M7,Short Split,24,24,1,12,100,,,,Felony_Sentences_7536,,,19
8947,5218782,1954691,3,2015,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Short Split,12,12,1,12,100,,,,Felony_Sentences_7537,,,20
8948,1377043,3106278,1,2015,Other or Unknown,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,15,15,0,24,100,0,0,0,Felony_Sentences_7538,,,44
8949,935707,1755565,1,2015,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Short Split,20,14,6,18,100,0,0,0,Felony_Sentences_7539,,,57
8950,6057404,5430119,1,2015,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Short Split,20,15,5,24,100,0,0,0,Felony_Sentences_7540,,,57
8951,7431107,7745170,1,2015,Black,M,18-21,Conspiracy,Other,,M9,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7541,,,19
6947,9630430,3912672,3,2016,Black,M,18-21,Unlawful Possession of a Firearm (Fugitive from Justice),Weapon,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7542,,,19
6948,9630430,3912672,6,2016,Black,M,18-21,Tampering With Physical Evidence,Other,,M9,Incarceration,12,0,12,0,100,0,0,0,Felony_Sentences_7543,,,19
6949,9228526,2282870,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,28,0,28,0,100,0,0,0,Felony_Sentences_7544,,,56
6950,9101139,7433979,1,2016,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,12,12,1,12,100,0,0,0,Felony_Sentences_7545,,,25
6951,6266099,7272281,1,2016,Black,M,61-70,Distribution Of a Controlled Substance,Drug,,D3,Short Split,9,7,2,12,100,0,0,0,Felony_Sentences_7546,,,65
6952,5919435,3706478,1,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,12,1,12,100,,,,Felony_Sentences_7547,,,25
6953,7963269,6194156,1,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,18,18,0,18,150,0,0,0,Felony_Sentences_7548,,,26
6954,7818986,1777406,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,18,12,6,9,100,0,0,0,Felony_Sentences_7549,,,34
6955,1756461,8388842,1,2016,Black,M,61-70,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0,Felony_Sentences_7550,,,65
6956,4604837,2047155,1,2016,Other or Unknown,M,,Conspiracy,Other,,M9,Probation,6,6,0,12,100,0,0,0,Felony_Sentences_7551,,,0
6957,947769,9831182,1,2016,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,16,16,0,24,100,0,0,0,Felony_Sentences_7552,,,45
6958,7137678,3667434,1,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,28,28,1,36,100,,,,Felony_Sentences_7553,,,25
6959,9698410,1862953,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,10,10,0,6,100,0,0,0,Felony_Sentences_7554,,,32
6960,1356026,5093434,1,2016,Black,M,22-30,Burglary Two,Property,,M7,Long Split,24,12,12,24,100,0,0,0,Felony_Sentences_7555,,,25
6961,8021699,9758350,1,2016,Black,M,51-60,Burglary Two,Property,,M7,Long Split,48,24,24,1,100,0,0,0,Felony_Sentences_7556,,,57
6962,2134673,6253453,1,2016,Black,M,18-21,First Degree Child Sex Abuse,Sex,,M6,Probation,60,60,0,60,100,,,,Felony_Sentences_7557,,,19
6963,1056717,7272281,1,2016,Black,M,61-70,Bail Reform Act -Felony,Other,,M9,Short Split,12,12,1,12,100,0,0,0,Felony_Sentences_7558,,,67
6964,9713175,6961383,1,2016,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7559,,,45
6965,1522399,5613536,1,2016,Black,M,31-40,Cruelty to Animals,Other,,M9,Incarceration,7,0,7,0,100,0,0,0,Felony_Sentences_7560,,,36
6966,400811,8768688,1,2016,Black,M,31-40,Murder II,Homicide,Murder II,M2,Incarceration,120,0,120,36,200,0,0,0,Felony_Sentences_7561,,,34
6967,1403136,2562948,1,2016,Black,M,41-50,Flee Law Enforcement Officer,Other,,M8,Incarceration,22,0,22,0,100,0,0,0,Felony_Sentences_7562,,,44
6968,1403136,2562948,2,2016,Black,M,41-50,Destruction of Property $1000 or More,Property,,M8,Incarceration,22,0,22,0,100,0,0,0,Felony_Sentences_7563,,,43
6969,7939747,6533050,1,2016,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7564,,,25
6970,882303,9131667,2,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,20,15,5,12,100,0,0,0,Felony_Sentences_7565,,,24
6971,9366297,1020481,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,6,6,0,12,100,0,0,0,Felony_Sentences_7566,,,35
6972,718514,9811043,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Short Split,10,6,4,12,100,0,0,0,Felony_Sentences_7567,,,22
6973,6264675,3952698,1,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7568,,,24
6974,6264675,3952698,2,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7569,,,24
6975,6264675,3952698,3,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7570,,,27
6976,6264675,3952698,4,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7571,,,26
6977,4655914,687937,5,2016,Black,M,18-21,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0,Felony_Sentences_7572,,,19
6978,1227808,1846078,3,2016,Black,M,18-21,Robbery,Violent,,M5,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7573,,,19
6979,1227808,1846078,4,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7574,,,20
6980,1227808,1846078,5,2016,Black,M,18-21,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7575,,,19
6981,1227808,1846078,6,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7576,,,19
6982,1227808,1846078,7,2016,Black,M,18-21,Unarmed Carjacking,Violent,,M5,Incarceration,120,0,120,0,100,0,0,0,Felony_Sentences_7577,,,20
6983,7506760,3563496,1,2016,Black,M,51-60,Flee Law Enforcement Officer,Other,,M8,Probation,24,24,0,18,100,0,0,0,Felony_Sentences_7578,,,56
7536,5384248,6708378,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0,Felony_Sentences_7579,,,36
7537,5384248,6708378,5,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0,Felony_Sentences_7580,,,33
7538,606252,3967493,9,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7581,,,20
7539,606252,3967493,11,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7582,,,19
7540,606252,3967493,13,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7583,,,19
7541,606252,3967493,15,2016,Black,M,18-21,Robbery,Violent,,M6,Long Split,24,12,12,1,100,0,0,0,Felony_Sentences_7584,,,19
7542,606252,3967493,19,2016,Black,M,18-21,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7585,,,20
7543,4699156,1681937,1,2016,Black,M,31-40,First Degree Child Sex Abuse,Sex,,M3,Incarceration,264,0,264,0,100,0,0,0,Felony_Sentences_7586,,,36
7544,156733,6708378,2,2016,Black,M,31-40,Tampering With Physical Evidence,Other,,M9,Incarceration,6,0,6,0,100,0,0,0,Felony_Sentences_7587,,,37
7545,1461025,2052544,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7588,,,35
7546,8664718,900626,1,2016,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,10,10,0,12,100,0,0,0,Felony_Sentences_7589,,,46
7547,8223282,2989162,1,2016,Black,M,18-21,Unlawful Possession of a Firearm,Weapon,,M7,Long Split,18,5,12,12,100,,,,Felony_Sentences_7590,,,19
7548,1484732,9556349,3,2016,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,18,0,18,0,100,0,100,0,Felony_Sentences_7591,,,27
7549,8353856,5567951,1,2016,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,18,100,,,,Felony_Sentences_7592,,,44
7550,8739814,5381846,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Probation,16,16,0,15,100,0,0,0,Felony_Sentences_7593,,,34
7551,3962535,6561156,1,2016,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M7,Long Split,18,6,12,12,100,0,0,0,Felony_Sentences_7594,,,28
7552,6429719,9269550,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Short Split,18,15,3,12,100,0,0,0,Felony_Sentences_7595,,,55
7553,2092252,1479432,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,9,100,0,0,0,Felony_Sentences_7596,,,26
7554,2160535,1014983,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,12,100,0,0,0,Felony_Sentences_7597,,,27
7555,413251,4517998,1,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7598,,,16
7556,413251,4517998,2,2016,Black,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7599,,,15
7557,2505310,133716,1,2016,Black,M,22-30,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7600,,,26
7558,9130877,8108706,1,2016,Black,M,41-50,Burglary Two,Property,,M8,Incarceration,22,0,22,0,100,0,0,0,Felony_Sentences_7601,,,45
7559,5650514,6399233,1,2016,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M7,Long Split,42,6,36,24,100,0,0,0,Felony_Sentences_7602,,,25
7560,6864453,4572070,1,2016,Black,M,18-21,Burglary Two,Property,,M7,Long Split,30,12,18,36,100,,,,Felony_Sentences_7603,,,19
7561,959740,2345952,1,2016,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,18,18,0,36,100,0,0,0,Felony_Sentences_7604,,,46
7562,8603870,8916979,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,12,100,0,0,0,Felony_Sentences_7605,,,53
7563,8004051,2302850,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,12,100,0,0,0,Felony_Sentences_7606,,,26
7564,3594915,6393658,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,6,100,0,0,0,Felony_Sentences_7607,,,19
7565,9457447,4601000,1,2016,Black,M,22-30,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0,Felony_Sentences_7608,,,27
7566,3040097,5328455,1,2016,Black,M,51-60,Assault With A Dangerous Weapon,Violent,,M8,Short Split,14,8,6,24,100,,,,Felony_Sentences_7609,,,54
7567,701419,6115729,2,2016,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,Weapon,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7610,,,24
7568,349298,8051946,1,2016,Black,M,41-50,Burglary Two,Property,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7611,,,45
7569,8397291,9449933,1,2016,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,Weapon,,M8,Probation,6,6,0,6,100,0,0,0,Felony_Sentences_7612,,,28
7570,1993218,9538524,1,2016,Black,M,51-60,Theft Second Degree - Felony,Property,,M9,Incarceration,10,0,10,0,100,0,0,0,Felony_Sentences_7613,,,57
7571,7757986,6007290,1,2016,White,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Probation,9,9,0,18,100,0,0,0,Felony_Sentences_7614,,,28
7572,5317637,9595434,1,2016,Black,M,51-60,Burglary Two,Property,,M8,Incarceration,22,0,22,0,100,0,0,0,Felony_Sentences_7615,,,54
8125,9968901,5223512,2,2016,Black,F,41-50,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,92,0,92,0,100,0,0,0,Felony_Sentences_7616,,,47
8126,2901498,2920634,1,2016,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7617,,,26
8127,2901498,2920634,2,2016,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7618,,,27
8128,7255511,1250028,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,32,26,6,18,100,,,,Felony_Sentences_7619,,,26
8129,9794316,6701196,1,2016,Black,F,51-60,Cruelty to Animals,Other,,M9,Probation,6,6,0,9,100,0,200,0,Felony_Sentences_7620,,,54
8130,1796174,3393550,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,12,12,0,18,100,0,0,0,Felony_Sentences_7621,,,19
8131,6708623,5833252,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,6,6,1,6,100,,,,Felony_Sentences_7622,,,19
8132,7490722,7921987,1,2016,Black,M,51-60,Theft First Degree,Property,,M8,Incarceration,20,0,20,0,100,0,0,0,Felony_Sentences_7623,,,56
8133,3607699,8236476,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,6,100,0,0,0,Felony_Sentences_7624,,,54
8134,1704037,4640009,1,2016,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Short Split,18,13,5,12,100,,,,Felony_Sentences_7625,,,46
8135,1983383,89759,1,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7626,,,26
8136,1983383,89759,2,2016,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7627,,,23
8137,643660,2457750,1,2016,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,9,9,0,12,100,,,,Felony_Sentences_7628,,,26
8138,643660,2457750,2,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,9,9,0,12,100,,,,Felony_Sentences_7629,,,26
8139,2565672,939258,1,2016,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,19,13,6,12,100,,,,Felony_Sentences_7630,,,25
8140,2144020,5298938,1,2016,Black,M,22-30,Robbery,Violent,,M6,Short Split,24,24,1,18,100,0,0,0,Felony_Sentences_7631,,,26
8141,5726083,7292474,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,9,100,0,0,0,Felony_Sentences_7632,,,28
8142,228736,5742944,1,2016,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Probation,10,10,0,12,100,0,0,0,Felony_Sentences_7633,,,23
8143,8957134,6278568,1,2016,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Incarceration,8,0,8,0,100,0,0,0,Felony_Sentences_7634,,,26
8144,3311789,3877564,1,2016,Black,F,51-60,Theft First Degree,Property,,M8,Probation,24,24,0,60,100,0,"12,295",0,Felony_Sentences_7635,,,52
8145,3588040,7351841,1,2016,Black,M,31-40,Malicious Disfigurement,Violent,,M6,Incarceration,144,0,144,0,100,0,0,0,Felony_Sentences_7636,,,34
8146,6179700,6806134,1,2016,Other or Unknown,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,15,12,3,18,100,0,0,0,Felony_Sentences_7637,,,26
8147,8358493,8886569,1,2016,Black,F,51-60,Fraud 1st Deg $1000 or More,Other,,M9,Probation,3,3,0,24,100,0,"11,384.61",0,Felony_Sentences_7638,,,53
8148,1847930,7421356,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,12,12,1,18,100,0,0,0,Felony_Sentences_7639,,,25
8149,6678728,7341813,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Short Split,18,18,1,18,100,0,0,0,Felony_Sentences_7640,,,26
8150,4434568,8653495,1,2016,Black,F,51-60,Assault with Significant Bodily Injury,Violent,,M8,Probation,16,16,0,30,100,0,0,0,Felony_Sentences_7641,,,55
8151,4704676,2414956,1,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7642,,,20
8152,4704676,2414956,2,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0,Felony_Sentences_7643,,,18
8153,3835470,3387936,1,2016,Other or Unknown,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,14,0,14,0,100,0,0,0,Felony_Sentences_7644,,,24
8154,3835470,3387936,2,2016,Other or Unknown,M,22-30,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,0,0,0,Felony_Sentences_7645,,,24
8155,211663,2908261,1,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,12,100,0,0,0,Felony_Sentences_7646,,,25
8156,211663,2908261,2,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,12,100,0,0,0,Felony_Sentences_7647,,,25
8157,7917443,4957671,2,2016,Black,M,31-40,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,24,0,24,0,100,0,600,0,Felony_Sentences_7648,,,38
8158,5881291,1599034,3,2016,Black,M,31-40,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_7649,,,37
8159,9423429,641214,1,2016,Black,M,61-70,Second Degree Child Sex Abuse,Sex,,M8,Probation,18,18,0,36,100,0,0,0,Felony_Sentences_7650,,,62
8160,4791611,7642531,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Long Split,24,12,12,36,100,0,0,0,Felony_Sentences_7651,,,23
8161,4791611,7642531,4,2016,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0,Felony_Sentences_7652,,,26
8574,7090018,3153305,3,2016,Black,M,18-21,Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0,Felony_Sentences_7653,,,19
8575,4468480,5114791,2,2016,Black,M,22-30,Poss W/I to Dist Marijuana-Fel,Drug,,D4,Probation,10,10,0,12,100,0,0,0,Felony_Sentences_7654,,,25
8576,2785170,9586595,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Probation,24,24,0,12,100,0,0,0,Felony_Sentences_7655,,,27
8577,5154371,7056782,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,6,100,0,0,0,Felony_Sentences_7656,,,18
